what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.intro,3.2.201.v20080702_34x,org.eclipse.ui.intro,1283442820989
started,bundle,org.eclipse.ui.intro.universal,3.2.200.v20080508,org.eclipse.ui.intro.universal,1283442820989
started,bundle,org.eclipse.ui.net,1.0.0.I20080605,org.eclipse.ui.net,1283442821000
started,bundle,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views,1283442821007
started,bundle,org.eclipse.ui.workbench,3.4.2.M20090127-1700,org.eclipse.ui.workbench,1283442821012
started,bundle,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.workbench.texteditor,1283442821032
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1283442821042
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.bugzilla.core,1283442821059
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.bugzilla.ui,1283442821066
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.commons.net,1283442821066
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.commons.ui,1283442821078
started,bundle,org.eclipse.mylyn.context.core,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.context.core,1283442821081
started,bundle,org.eclipse.mylyn.context.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.context.ui,1283442821088
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.monitor.ui,1283442821099
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.tasks.ui,1283442821115
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1283442821142
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1283442821189
started,bundle,com.adobe.flexbuilder.debug.ui,3.0.214193,com.adobe.flexbuilder.debug.ui,1283442821251
started,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,org.eclipse.mylyn.team.ui,1283442821314
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1283442821589
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1283442821590
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1283442821657
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1283442822255
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1283442822350
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1283442822383
